Player,group,Mat,Inns,NO,Runs,HS,Ave,BF,value,lastValue,Hundreds,Fifties,Ducks,year,Player_mod,rank
A Flower,ZIM,5,5,0,164,76,32.8,210,78.09,78.09,0,1,0,1994,A Flower (ZIM),6
A Flower,ZIM,5,5,0,111,73,22.2,184,60.32,78.09,0,1,0,1995,A Flower (ZIM),17
A Flower,ZIM,7,7,0,419,81,59.85,482,86.92,60.32,0,5,0,1997,A Flower (ZIM),6
A Jadeja,INDIA,14,14,0,690,104,49.28,1063,64.91,64.91,1,6,1,1994,A Jadeja (INDIA),13
A Jadeja,INDIA,8,8,0,228,68,28.5,357,63.86,64.91,0,2,1,1996,A Jadeja (INDIA),24
AA Obanda,KENYA,3,3,0,102,65,34,122,83.6,83.6,0,1,0,2009,AA Obanda (KENYA),21
AA Obanda,KENYA,6,6,0,164,77,27.33,238,68.9,83.6,0,1,0,2010,AA Obanda (KENYA),40
Aamer Sohail,PAK,28,28,1,1053,134,39,1451,72.57,72.57,2,6,1,1994,Aamer Sohail (PAK),7
Aamer Sohail,PAK,16,16,0,484,85,30.25,627,77.19,72.57,0,4,2,1995,Aamer Sohail (PAK),3
Aamer Sohail,PAK,26,26,1,991,111,39.64,1499,66.11,77.19,2,6,2,1996,Aamer Sohail (PAK),21
Aamer Sohail,PAK,12,12,0,172,55,14.33,348,49.42,66.11,0,2,2,1997,Aamer Sohail (PAK),32
Aamer Sohail,PAK,5,5,0,224,91,44.8,316,70.88,49.42,0,2,0,1998,Aamer Sohail (PAK),22
AB Barath,WI,5,5,0,131,50,26.2,228,57.45,57.45,0,1,0,2010,AB Barath (WI),50
AB Barath,WI,7,7,1,180,113,30,279,64.51,57.45,1,0,2,2011,AB Barath (WI),38
AB de Villiers,SA,13,13,0,182,30,14,264,68.93,68.93,0,0,0,2005,AB de Villiers (SA),23
AB de Villiers,SA,22,21,2,769,146,40.47,807,95.29,68.93,1,6,5,2007,AB de Villiers (SA),11
AC Gilchrist,AUS,20,20,0,765,118,38.25,845,90.53,90.53,3,2,1,1998,AC Gilchrist (AUS),8
AC Gilchrist,AUS,37,37,0,1241,154,33.54,1393,89.08,90.53,2,6,2,1999,AC Gilchrist (AUS),4
AC Gilchrist,AUS,22,22,0,704,128,32,736,95.65,89.08,1,5,1,2000,AC Gilchrist (AUS),1
AC Gilchrist,AUS,17,17,1,719,98,44.93,794,90.55,95.65,0,7,0,2001,AC Gilchrist (AUS),6
AC Gilchrist,AUS,26,26,0,836,124,32.15,869,96.2,90.55,2,4,3,2002,AC Gilchrist (AUS),5
AC Gilchrist,AUS,30,30,1,1098,111,37.86,1083,101.38,96.2,1,8,0,2003,AC Gilchrist (AUS),2
AC Gilchrist,AUS,20,20,1,879,172,46.26,786,111.83,101.38,1,5,1,2004,AC Gilchrist (AUS),2
AC Gilchrist,AUS,27,27,2,892,121,35.68,860,103.72,111.83,2,3,4,2005,AC Gilchrist (AUS),4
AC Gilchrist,AUS,21,21,0,810,122,38.57,779,103.97,103.72,2,4,2,2006,AC Gilchrist (AUS),3
AC Gilchrist,AUS,30,29,2,934,149,34.59,912,102.41,103.97,1,7,2,2007,AC Gilchrist (AUS),6
AC Gilchrist,AUS,10,10,0,322,118,32.2,328,98.17,102.41,1,2,1,2008,AC Gilchrist (AUS),9
AC Hudson,SA,15,15,0,480,84,32,806,59.55,59.55,0,4,0,1994,AC Hudson (SA),17
AC Hudson,SA,24,24,1,950,161,41.3,1175,80.85,59.55,1,7,2,1996,AC Hudson (SA),12
AC Hudson,SA,10,10,0,97,26,9.7,199,48.74,80.85,0,0,1,1997,AC Hudson (SA),33
AC Waller,ZIM,5,5,0,170,67,34,254,66.92,66.92,0,1,0,1996,AC Waller (ZIM),20
AC Waller,ZIM,8,8,0,105,52,13.12,198,53.03,66.92,0,1,2,1997,AC Waller (ZIM),28
AD Brown,ENG,3,3,0,155,118,51.66,191,81.15,81.15,1,0,1,1996,AD Brown (ENG),11
AD Brown,ENG,5,5,0,90,59,18,79,113.92,81.15,0,1,1,1998,AD Brown (ENG),1
ADR Campbell,ZIM,14,14,0,494,102,35.28,662,74.62,74.62,2,3,0,1998,ADR Campbell (ZIM),16
ADR Campbell,ZIM,7,7,1,218,56,36.33,377,57.82,74.62,0,1,0,1999,ADR Campbell (ZIM),31
ADR Campbell,ZIM,15,15,2,630,105,48.46,846,74.46,57.82,1,3,0,2000,ADR Campbell (ZIM),15
ADR Campbell,ZIM,26,26,0,837,124,32.19,1227,68.21,74.46,3,3,2,2001,ADR Campbell (ZIM),26
ADR Campbell,ZIM,12,12,0,375,84,31.25,597,62.81,68.21,0,4,0,2002,ADR Campbell (ZIM),33
ADS Fletcher,WI,6,6,0,140,54,23.33,165,84.84,84.84,0,2,1,2009,ADS Fletcher (WI),19
Ahmed Shehzad,PAK,4,4,0,106,43,26.5,201,52.73,52.73,0,0,0,2009,Ahmed Shehzad (PAK),51
Ahmed Shehzad,PAK,14,14,1,362,115,27.84,472,76.69,52.73,2,0,2,2011,Ahmed Shehzad (PAK),26
AJ Burger,NAM,4,4,0,159,85,39.75,162,98.14,98.14,0,1,0,2003,AJ Burger (NAM),3
AJ Hall,SA,15,15,0,350,81,23.33,511,68.49,68.49,0,1,1,2000,AJ Hall (SA),19
AJ Redmond,NZ,5,5,0,136,52,27.2,229,59.38,59.38,0,1,0,2009,AJ Redmond (NZ),49
AJ Stewart,ENG,9,9,0,260,66,28.88,386,67.35,67.35,0,2,0,1994,AJ Stewart (ENG),10
AJ Stewart,ENG,10,10,0,303,64,30.3,428,70.79,67.35,0,1,0,1996,AJ Stewart (ENG),17
AJ Stewart,ENG,9,9,0,434,116,48.22,511,84.93,70.79,1,2,0,1997,AJ Stewart (ENG),8
AJ Stewart,ENG,6,6,0,150,74,25,242,61.98,84.93,0,1,0,1998,AJ Stewart (ENG),29
AJ Stewart,ENG,20,20,0,365,88,18.25,577,63.25,61.98,0,1,3,1999,AJ Stewart (ENG),24
AJ Stewart,ENG,12,12,3,553,101,61.44,817,67.68,63.25,2,3,1,2000,AJ Stewart (ENG),20
AJ Stewart,ENG,4,4,0,112,55,28,193,58.03,67.68,0,1,0,2001,AJ Stewart (ENG),33
AJ Strauss,ENG,10,10,1,466,152,51.77,530,87.92,87.92,1,2,0,2005,AJ Strauss (ENG),8
AJ Strauss,ENG,17,17,1,517,78,32.31,685,75.47,87.92,0,6,2,2006,AJ Strauss (ENG),19
AJ Strauss,ENG,6,6,0,101,28,16.83,192,52.6,75.47,0,0,0,2007,AJ Strauss (ENG),54
